RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183259;2334395;-23.6754917,-46.6526757;-23.4753983,-46.77725979999999;34.77;48.57;Bag;103.0;bag;Comfort
1183260;2334397;-22.8729709,-43.450041299999995;-22.8858806,-43.4757166;3.98;11.88;Comfort;12.5;comfort;Comfort
1183261;2334399;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183262;2334401;-16.7021696,-49.1215719;-16.7140366,-49.2573611;19.85;27.85;Comfort;43.0;comfort;Comfort
1183263;2334403;-12.293636999999999,-38.945706;-12.2331072,-38.9735435;12.02;14.77;Comfort;37.5;comfort;Comfort
1183264;2334405;-21.1476011,-47.808096;-21.1371266,-47.837096;4.93;10.15;Comfort;15.5;comfort;Comfort
1183265;2334407;-22.0593413,-47.918286099999996;-21.9792596,-47.92974659999999;12.43;23.98;Comfort;27.5;comfort;Comfort
1183268;2334413;-23.9624233,-46.25465759999999;-23.989774,-46.289029;7.61;16.5;Comfort;20.0;comfort;Comfort
1183270;2334417;-22.810214,-43.403851499999995;-22.9221399,-43.2493486;27.49;49.57;Comfort;90.0;comfort;Comfort
1183271;2334419;-22.059227699999997,-47.918276899999995;-21.9792596,-47.92974659999999;12.43;23.97;Comfort;27.5;comfort;Comfort
1183272;2334421;-23.4473108,-46.5833731;-23.5701663,-46.4468751;34.47;44.68;Comfort;134.5;comfort;Comfort
1183272;2334421;-23.4473108,-46.5833731;-23.5701663,-46.4468751;34.47;44.68;Bag;129.0;bag;Comfort
1183274;2334425;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183275;2334427;-12.9028949,-38.395140999999995;-12.8986892,-38.3329429;9.66;18.9;Comfort;34.0;comfort;Comfort
1183276;2334429;-26.8985879,-49.069729599999995;-26.8637139,-49.09252409999999;12.67;15.97;Comfort;37.5;comfort;Comfort
1183277;2334431;-19.9690694,-43.973675;-19.9847608,-43.8465256;19.46;32.45;Comfort;44.0;comfort;Comfort
1183278;2334433;-23.9543517,-46.458881399999996;-23.9586711,-46.3333859;28.41;35.17;Comfort;70.5;comfort;Comfort
1183279;2334435;-23.6098049,-46.4539524;-23.6018668,-46.6934316;56.97;60.08;Comfort;148.0;comfort;Comfort
1183279;2334435;-23.6098049,-46.4539524;-23.6018668,-46.6934316;56.97;60.08;Bag;147.0;bag;Comfort
1183280;2334437;-22.728721,-43.447175;-22.8371489,-43.2738342;25.55;30.02;Comfort;65.0;comfort;Comfort
1183281;2334439;-23.4473512,-46.583365699999995;-23.5701663,-46.4468751;34.47;44.67;Comfort;143.0;comfort;Comfort
1183281;2334439;-23.4473512,-46.583365699999995;-23.5701663,-46.4468751;34.47;44.67;Bag;137.5;bag;Comfort
1183284;2334445;-20.3487032,-40.3331874;-20.4251971,-40.3304877;10.07;15.03;Comfort;22.5;comfort;Comfort
1183285;2334447;-23.2752969,-45.8944816;-23.1801212,-45.8661459;15.5;24.38;Comfort;38.5;comfort;Comfort
1183286;2334449;-26.8393767,-49.089650299999995;-26.8218002,-49.0886955;2.18;3.45;Comfort;9.0;comfort;Comfort
1183287;2334451;-29.717003599999998,-51.1583434;-29.7301916,-51.1472268;3.06;7.0;Comfort;11.5;comfort;Comfort
1183288;2334453;-19.9690932,-43.9737894;-19.9847608,-43.8465256;19.45;32.43;Comfort;44.0;comfort;Comfort
1183289;2334455;-15.5437476,-56.0729453;-15.6390474,-56.1692028;20.01;33.02;Comfort;53.5;comfort;Comfort
1183291;2334459;-25.5388302,-49.2419242;-25.5506178,-49.3129048;10.46;21.32;Comfort;26.5;comfort;Comfort
1183292;2334461;-20.1784446,-40.2579032;-20.2566243,-40.2642525;11.14;21.9;Comfort;29.5;comfort;Comfort
1183293;2334463;-26.8823014,-48.6973627;-26.912477,-48.689683;5.0;12.85;Comfort;13.5;comfort;Comfort
1183294;2334465;-29.9277561,-51.0127844;-29.9355365,-51.04117609999999;3.81;8.1;Comfort;12.5;comfort;Comfort
1183295;2334467;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183296;2334469;-22.729125,-43.446141;-22.8371489,-43.2738342;25.38;29.62;Comfort;76.5;comfort;Comfort
1183297;2334471;-19.953658,-43.964077;-19.9589853,-43.9873273;4.33;15.03;Comfort;14.5;comfort;Comfort
1183298;2334473;-22.810214,-43.403851499999995;-22.9221399,-43.2493486;27.49;49.57;Comfort;82.0;comfort;Comfort
1183299;2334475;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183300;2334477;-22.8343556,-43.4127084;-22.9973007,-43.3625245;29.92;38.82;Comfort;78.5;comfort;Comfort
1183301;2334479;-27.62603439999999,-48.6588022;-27.6346435,-48.66431420000001;1.48;4.5;Comfort;8.5;comfort;Comfort
