RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183455;2334787;-23.4623709,-46.4045054;-23.5964886,-46.4554845;21.79;33.43;Black;72.0;black;Black
1183455;2334787;-23.4623709,-46.4045054;-23.5964886,-46.4554845;21.79;33.43;Black Bag;87.0;black bag;Black
1183456;2334789;-19.8609431,-44.0263333;-19.9052705,-43.9445242;14.34;25.3;Black;50.5;black;Black
1183458;2334793;-22.794361499999997,-43.4298636;-23.0094715,-43.3059992;40.07;55.82;Black;129.0;black;Black
1183465;2334807;-23.6027889,-46.53947950000001;-23.6282033,-46.5673083;5.71;14.8;Black;25.5;black;Black
1183465;2334807;-23.6027889,-46.53947950000001;-23.6282033,-46.5673083;5.71;14.8;Black Bag;31.5;black bag;Black
1183469;2334815;-23.6027682,-46.5393652;-23.6282033,-46.5673083;5.72;14.83;Black;25.5;black;Black
1183469;2334815;-23.6027682,-46.5393652;-23.6282033,-46.5673083;5.72;14.83;Black Bag;31.5;black bag;Black
1183471;2334819;-15.8930131,-48.1043079;-15.7933031,-47.9446732;27.5;29.62;Black;80.0;black;Black
1183475;2334827;-22.822388,-43.29419710000001;-22.8355571,-43.2636396;4.33;8.92;Black;19.0;black;Black
1183476;2334829;-23.4863629,-46.8060903;-23.485752,-46.8060085;0.06;0.15;Black;10.5;black;Black
1183476;2334829;-23.4863629,-46.8060903;-23.485752,-46.8060085;0.06;0.15;Black Bag;14.5;black bag;Black
1183477;2334831;-20.006313,-44.015287;-19.9851247,-44.0087181;3.04;8.17;Black;18.0;black;Black
1183480;2334837;-23.486045500000003,-46.8061338;-23.5475,-46.7569444;11.76;25.82;Black;44.0;black;Black
1183480;2334837;-23.486045500000003,-46.8061338;-23.5475,-46.7569444;11.76;25.82;Black Bag;53.5;black bag;Black
1183483;2334843;-23.4749846,-46.776765999999995;-23.4527479,-46.73655409999999;9.46;20.63;Black;34.5;black;Black
1183485;2334847;-23.6902668,-46.519211899999995;-23.6855153,-46.5215647;0.81;2.58;Black;10.5;black;Black
1183495;2334867;-22.9133689,-43.167213;-22.8936831,-43.30412889999999;19.77;28.05;Black;60.5;black;Black
1183496;2334869;-23.6902668,-46.51921189999999;-23.6855153,-46.5215647;0.81;2.58;Black;10.5;black;Black
1183507;2334891;-23.5446922,-46.7009853;-23.504473,-46.6244167;12.48;30.83;Black;50.5;black;Black
1183509;2334895;-23.5446922,-46.7009853;-23.504473,-46.6244167;12.48;30.83;Black;50.5;black;Black
1183514;2334905;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black;34.0;black;Black
1183514;2334905;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black Bag;42.0;black bag;Black
1183516;2334909;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black;34.0;black;Black
1183516;2334909;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black Bag;42.0;black bag;Black
1183517;2334911;-15.8349573,-48.0955957;-15.822989,-48.08258240000001;5.43;8.68;Black;18.0;black;Black
1183523;2334923;-23.416428,-46.5053433;-23.4803483,-46.5570604;11.78;32.28;Black;51.5;black;Black
1183523;2334923;-23.416428,-46.5053433;-23.4803483,-46.5570604;11.78;32.28;Black Bag;63.0;black bag;Black
1183526;2334929;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black;34.0;black;Black
1183526;2334929;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black Bag;42.0;black bag;Black
1183527;2334931;-23.437059,-46.5329758;-23.4334939,-46.5454824;2.46;8.1;Black;15.0;black;Black
1183527;2334931;-23.437059,-46.5329758;-23.4334939,-46.5454824;2.46;8.1;Black Bag;18.5;black bag;Black
1183530;2334937;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black;34.0;black;Black
1183530;2334937;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black Bag;42.0;black bag;Black
1183533;2334943;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black;34.5;black;Black
1183533;2334943;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black Bag;42.0;black bag;Black
1183534;2334945;-19.9165592,-44.02899000000001;-19.9234823,-44.0810944;10.5;13.72;Black;42.0;black;Black
1183535;2334947;-23.519671499999998,-46.8431706;-23.5528126,-46.83804660000001;5.47;13.05;Black;21.0;black;Black
1183535;2334947;-23.519671499999998,-46.8431706;-23.5528126,-46.83804660000001;5.47;13.05;Black Bag;26.0;black bag;Black
1183536;2334949;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black;34.5;black;Black
1183536;2334949;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.42;14.73;Black Bag;42.0;black bag;Black
1183538;2334953;-23.6540973,-46.4604237;-23.647808,-46.58357119999999;34.81;33.52;Black;111.5;black;Black
1183538;2334953;-23.6540973,-46.4604237;-23.647808,-46.58357119999999;34.81;33.52;Black Bag;131.5;black bag;Black
1183541;2334959;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.26;12.5;Black;32.0;black;Black
1183541;2334959;-23.5629008,-46.6410438;-23.583258,-46.67046149999999;6.26;12.5;Black Bag;39.0;black bag;Black
1183543;2334963;-23.686875800000003,-46.521414199999995;-23.6765726,-46.4992216;3.76;10.37;Black;18.0;black;Black
1183543;2334963;-23.686875800000003,-46.521414199999995;-23.6765726,-46.4992216;3.76;10.37;Black Bag;22.0;black bag;Black
1183545;2334967;-23.686875800000003,-46.521414199999995;-23.678415,-46.4982109;3.67;10.32;Black;18.0;black;Black
1183545;2334967;-23.686875800000003,-46.521414199999995;-23.678415,-46.4982109;3.67;10.32;Black Bag;22.0;black bag;Black
1183549;2334975;-22.8467789,-43.341105999999996;-22.983413,-43.2196866;31.04;43.47;Black;113.0;black;Black
1183551;2334979;-22.8467789,-43.341105999999996;-22.983413,-43.2196866;31.04;43.47;Black;113.0;black;Black
1183555;2334987;-23.456955100000002,-46.588254899999995;-23.4759432,-46.57190629999999;5.57;12.02;Black;17.0;black;Black
1183562;2335001;-23.456955100000002,-46.588254899999995;-23.4759432,-46.57190629999999;5.57;12.02;Black;17.0;black;Black
1183567;2335011;-22.8685688,-43.4882551;-22.8426101,-43.2680818;27.78;35.22;Black;85.0;black;Black
1183569;2335015;-22.730258,-43.414902999999995;-22.8449287,-43.3725013;20.08;38.18;Black;90.5;black;Black
1183573;2335023;-19.9197793,-43.9386492;-19.9230004,-43.923986;2.8;8.17;Black;15.0;black;Black
